"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
10,"Fp2",10,0,1,"NMOR",0
10,"Fp2",10,0,1,"MOR",0
10,"Fp1",10,0,1,"NMOR",0
10,"Fp1",10,0,1,"MOR",0
10,"F8",10,0,1,"NMOR",0
10,"F8",10,0,1,"MOR",0
10,"F7",10,1,1,"NMOR",10
10,"F7",10,0,1,"MOR",0
10,"F4",10,1,1,"NMOR",10
10,"F4",10,0,1,"MOR",0
10,"F3",10,1,1,"NMOR",10
10,"F3",10,0,1,"MOR",0
10,"T4",10,1,1,"NMOR",10
10,"T4",10,1,1,"MOR",10
10,"T3",10,0,1,"NMOR",0
10,"T3",10,0,1,"MOR",0
10,"C4",10,0,1,"NMOR",0
10,"C4",10,0,1,"MOR",0
10,"C3",10,0,1,"NMOR",0
10,"C3",10,4,1,"MOR",40
10,"T6",10,2,1,"NMOR",20
10,"T6",10,0,1,"MOR",0
10,"T5",10,0,1,"NMOR",0
10,"T5",10,0,1,"MOR",0
10,"P4",10,0,1,"NMOR",0
10,"P4",10,0,1,"MOR",0
10,"P3",10,0,1,"NMOR",0
10,"P3",10,0,1,"MOR",0
10,"O2",10,3,1,"NMOR",30
10,"O2",10,0,1,"MOR",0
10,"O1",10,1,1,"NMOR",10
10,"O1",10,0,1,"MOR",0
10,"FZ",10,1,1,"NMOR",10
10,"FZ",10,0,1,"MOR",0
10,"CZ",10,0,1,"NMOR",0
10,"CZ",10,0,1,"MOR",0
10,"PZ",10,0,1,"NMOR",0
10,"PZ",10,1,1,"MOR",10
10,"LOG",10,0,1,"NMOR",0
10,"LOG",10,1,1,"MOR",10
10,"ROG",10,1,1,"NMOR",10
10,"ROG",10,1,1,"MOR",10
10,"EMG",10,2,1,"NMOR",20
10,"EMG",10,0,1,"MOR",0
