"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
6,"Fp2",10,1,1,"NMOR",10
6,"Fp2",10,1,1,"MOR",10
6,"Fp1",10,1,1,"NMOR",10
6,"Fp1",10,3,1,"MOR",30
6,"F8",10,2,1,"NMOR",20
6,"F8",10,2,1,"MOR",20
6,"F7",10,3,1,"NMOR",30
6,"F7",10,4,1,"MOR",40
6,"F4",10,2,1,"NMOR",20
6,"F4",10,4,1,"MOR",40
6,"F3",10,2,1,"NMOR",20
6,"F3",10,4,1,"MOR",40
6,"T4",10,4,1,"NMOR",40
6,"T4",10,4,1,"MOR",40
6,"T3",10,1,1,"NMOR",10
6,"T3",10,2,1,"MOR",20
6,"C4",10,0,1,"NMOR",0
6,"C4",10,6,1,"MOR",60
6,"C3",10,4,1,"NMOR",40
6,"C3",10,2,1,"MOR",20
6,"T6",10,3,1,"NMOR",30
6,"T6",10,1,1,"MOR",10
6,"T5",10,0,1,"NMOR",0
6,"T5",10,0,1,"MOR",0
6,"P4",10,0,1,"NMOR",0
6,"P4",10,0,1,"MOR",0
6,"P3",10,0,1,"NMOR",0
6,"P3",10,0,1,"MOR",0
6,"O2",10,0,1,"NMOR",0
6,"O2",10,1,1,"MOR",10
6,"O1",10,0,1,"NMOR",0
6,"O1",10,0,1,"MOR",0
6,"FZ",10,0,1,"NMOR",0
6,"FZ",10,0,1,"MOR",0
6,"CZ",10,0,1,"NMOR",0
6,"CZ",10,0,1,"MOR",0
6,"PZ",10,0,1,"NMOR",0
6,"PZ",10,0,1,"MOR",0
6,"LOG",10,0,1,"NMOR",0
6,"LOG",10,0,1,"MOR",0
6,"ROG",10,0,1,"NMOR",0
6,"ROG",10,0,1,"MOR",0
6,"EMG",10,0,1,"NMOR",0
6,"EMG",10,2,1,"MOR",20
