"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
13,"Fp2",10,0,1,"NMOR",0
13,"Fp2",10,0,1,"MOR",0
13,"Fp1",10,0,1,"NMOR",0
13,"Fp1",10,1,1,"MOR",10
13,"F8",10,1,1,"NMOR",10
13,"F8",10,0,1,"MOR",0
13,"F7",10,2,1,"NMOR",20
13,"F7",10,3,1,"MOR",30
13,"F4",10,1,1,"NMOR",10
13,"F4",10,3,1,"MOR",30
13,"F3",10,3,1,"NMOR",30
13,"F3",10,1,1,"MOR",10
13,"T4",10,2,1,"NMOR",20
13,"T4",10,3,1,"MOR",30
13,"T3",10,3,1,"NMOR",30
13,"T3",10,1,1,"MOR",10
13,"C4",10,3,1,"NMOR",30
13,"C4",10,3,1,"MOR",30
13,"C3",10,1,1,"NMOR",10
13,"C3",10,3,1,"MOR",30
13,"T6",10,3,1,"NMOR",30
13,"T6",10,0,1,"MOR",0
13,"T5",10,1,1,"NMOR",10
13,"T5",10,1,1,"MOR",10
13,"P4",10,4,1,"NMOR",40
13,"P4",10,1,1,"MOR",10
13,"P3",10,4,1,"NMOR",40
13,"P3",10,3,1,"MOR",30
13,"O2",10,3,1,"NMOR",30
13,"O2",10,3,1,"MOR",30
13,"O1",10,4,1,"NMOR",40
13,"O1",10,3,1,"MOR",30
13,"FZ",10,7,1,"NMOR",70
13,"FZ",10,4,1,"MOR",40
13,"CZ",10,5,1,"NMOR",50
13,"CZ",10,3,1,"MOR",30
13,"PZ",10,5,1,"NMOR",50
13,"PZ",10,6,1,"MOR",60
13,"LOG",10,4,1,"NMOR",40
13,"LOG",10,0,1,"MOR",0
13,"ROG",10,1,1,"NMOR",10
13,"ROG",10,5,1,"MOR",50
13,"EMG",10,6,1,"NMOR",60
13,"EMG",10,0,1,"MOR",0
