"Participante","Canal","Valido","Estacionario","Grupo","Etapa","Indice"
11,"Fp2",1,0,1,0,1
11,"Fp2",1,0,1,0,2
11,"Fp2",1,0,1,0,3
11,"Fp2",1,0,1,0,4
11,"Fp2",1,0,1,0,5
11,"Fp2",1,0,1,0,6
11,"Fp2",1,0,1,0,7
11,"Fp2",1,0,1,0,8
11,"Fp2",1,0,1,0,9
11,"Fp2",1,0,1,0,10
11,"Fp2",1,0,1,1,11
11,"Fp2",1,0,1,1,12
11,"Fp2",1,0,1,1,13
11,"Fp2",1,0,1,1,14
11,"Fp2",1,0,1,1,15
11,"Fp2",1,0,1,1,16
11,"Fp2",1,0,1,1,17
11,"Fp2",1,0,1,1,18
11,"Fp2",1,0,1,1,19
11,"Fp2",1,0,1,1,20
11,"Fp1",1,1,1,0,1
11,"Fp1",1,1,1,0,2
11,"Fp1",1,1,1,0,3
11,"Fp1",1,1,1,0,4
11,"Fp1",1,1,1,0,5
11,"Fp1",1,1,1,0,6
11,"Fp1",1,1,1,0,7
11,"Fp1",1,1,1,0,8
11,"Fp1",1,1,1,0,9
11,"Fp1",1,1,1,0,10
11,"Fp1",1,1,1,1,11
11,"Fp1",1,1,1,1,12
11,"Fp1",1,1,1,1,13
11,"Fp1",1,1,1,1,14
11,"Fp1",1,1,1,1,15
11,"Fp1",1,1,1,1,16
11,"Fp1",1,1,1,1,17
11,"Fp1",1,1,1,1,18
11,"Fp1",1,1,1,1,19
11,"Fp1",1,1,1,1,20
11,"F8",1,0,1,0,1
11,"F8",1,0,1,0,2
11,"F8",1,0,1,0,3
11,"F8",1,0,1,0,4
11,"F8",1,0,1,0,5
11,"F8",1,0,1,0,6
11,"F8",1,0,1,0,7
11,"F8",1,0,1,0,8
11,"F8",1,0,1,0,9
11,"F8",1,0,1,0,10
11,"F8",1,0,1,1,11
11,"F8",1,0,1,1,12
11,"F8",1,0,1,1,13
11,"F8",1,0,1,1,14
11,"F8",1,0,1,1,15
11,"F8",1,0,1,1,16
11,"F8",1,0,1,1,17
11,"F8",1,0,1,1,18
11,"F8",1,0,1,1,19
11,"F8",1,0,1,1,20
11,"F7",1,0,1,0,1
11,"F7",1,0,1,0,2
11,"F7",1,0,1,0,3
11,"F7",1,0,1,0,4
11,"F7",1,0,1,0,5
11,"F7",1,0,1,0,6
11,"F7",1,0,1,0,7
11,"F7",1,0,1,0,8
11,"F7",1,0,1,0,9
11,"F7",1,0,1,0,10
11,"F7",1,0,1,1,11
11,"F7",1,0,1,1,12
11,"F7",1,0,1,1,13
11,"F7",1,0,1,1,14
11,"F7",1,0,1,1,15
11,"F7",1,0,1,1,16
11,"F7",1,0,1,1,17
11,"F7",1,0,1,1,18
11,"F7",1,0,1,1,19
11,"F7",1,0,1,1,20
11,"F4",1,0,1,0,1
11,"F4",1,0,1,0,2
11,"F4",1,0,1,0,3
11,"F4",1,0,1,0,4
11,"F4",1,0,1,0,5
11,"F4",1,0,1,0,6
11,"F4",1,0,1,0,7
11,"F4",1,0,1,0,8
11,"F4",1,0,1,0,9
11,"F4",1,0,1,0,10
11,"F4",1,0,1,1,11
11,"F4",1,0,1,1,12
11,"F4",1,0,1,1,13
11,"F4",1,0,1,1,14
11,"F4",1,0,1,1,15
11,"F4",1,0,1,1,16
11,"F4",1,0,1,1,17
11,"F4",1,0,1,1,18
11,"F4",1,0,1,1,19
11,"F4",1,0,1,1,20
11,"F3",1,0,1,0,1
11,"F3",1,0,1,0,2
11,"F3",1,0,1,0,3
11,"F3",1,0,1,0,4
11,"F3",1,0,1,0,5
11,"F3",1,0,1,0,6
11,"F3",1,0,1,0,7
11,"F3",1,0,1,0,8
11,"F3",1,0,1,0,9
11,"F3",1,0,1,0,10
11,"F3",1,0,1,1,11
11,"F3",1,0,1,1,12
11,"F3",1,0,1,1,13
11,"F3",1,0,1,1,14
11,"F3",1,1,1,1,15
11,"F3",1,1,1,1,16
11,"F3",1,0,1,1,17
11,"F3",1,0,1,1,18
11,"F3",1,0,1,1,19
11,"F3",1,1,1,1,20
