"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
11,"Fp2",10,0,1,"NMOR",0
11,"Fp2",10,10,1,"MOR",100
11,"Fp1",10,0,1,"NMOR",0
11,"Fp1",10,0,1,"MOR",0
11,"F8",10,0,1,"NMOR",0
11,"F8",10,0,1,"MOR",0
11,"F7",10,0,1,"NMOR",0
11,"F7",10,1,1,"MOR",10
11,"F4",10,0,1,"NMOR",0
11,"F4",10,1,1,"MOR",10
11,"F3",10,0,1,"NMOR",0
11,"F3",10,1,1,"MOR",10
11,"T4",10,3,1,"NMOR",30
11,"T4",10,0,1,"MOR",0
11,"T3",10,1,1,"NMOR",10
11,"T3",10,1,1,"MOR",10
11,"C4",10,0,1,"NMOR",0
11,"C4",10,0,1,"MOR",0
11,"C3",10,0,1,"NMOR",0
11,"C3",10,2,1,"MOR",20
11,"T6",10,4,1,"NMOR",40
11,"T6",10,0,1,"MOR",0
11,"T5",10,0,1,"NMOR",0
11,"T5",10,10,1,"MOR",100
11,"P4",10,0,1,"NMOR",0
11,"P4",10,0,1,"MOR",0
11,"P3",10,0,1,"NMOR",0
11,"P3",10,3,1,"MOR",30
11,"O2",10,0,1,"NMOR",0
11,"O2",10,0,1,"MOR",0
11,"O1",10,0,1,"NMOR",0
11,"O1",10,0,1,"MOR",0
11,"FZ",10,0,1,"NMOR",0
11,"FZ",10,2,1,"MOR",20
11,"CZ",10,2,1,"NMOR",20
11,"CZ",10,0,1,"MOR",0
11,"PZ",10,0,1,"NMOR",0
11,"PZ",10,2,1,"MOR",20
11,"LOG",10,0,1,"NMOR",0
11,"LOG",10,0,1,"MOR",0
11,"ROG",10,0,1,"NMOR",0
11,"ROG",10,0,1,"MOR",0
11,"EMG",10,0,1,"NMOR",0
11,"EMG",10,0,1,"MOR",0
