"Participante","Canal","Valido","Estacionario","Grupo","Etapa","Indice"
9,"Fp2",1,0,1,0,1
9,"Fp2",1,0,1,0,2
9,"Fp2",1,0,1,0,3
9,"Fp2",1,0,1,0,4
9,"Fp2",1,0,1,0,5
9,"Fp2",1,0,1,0,6
9,"Fp2",1,0,1,0,7
9,"Fp2",1,0,1,0,8
9,"Fp2",1,0,1,0,9
9,"Fp2",1,0,1,0,10
9,"Fp2",1,0,1,1,11
9,"Fp2",1,0,1,1,12
9,"Fp2",1,0,1,1,13
9,"Fp2",1,0,1,1,14
9,"Fp2",1,0,1,1,15
9,"Fp2",1,0,1,1,16
9,"Fp2",1,0,1,1,17
9,"Fp2",1,0,1,1,18
9,"Fp2",1,0,1,1,19
9,"Fp2",1,0,1,1,20
9,"Fp1",1,0,1,0,1
9,"Fp1",1,0,1,0,2
9,"Fp1",1,0,1,0,3
9,"Fp1",1,0,1,0,4
9,"Fp1",1,0,1,0,5
9,"Fp1",1,0,1,0,6
9,"Fp1",1,0,1,0,7
9,"Fp1",1,0,1,0,8
9,"Fp1",1,0,1,0,9
9,"Fp1",1,0,1,0,10
9,"Fp1",1,0,1,1,11
9,"Fp1",1,0,1,1,12
9,"Fp1",1,0,1,1,13
9,"Fp1",1,0,1,1,14
9,"Fp1",1,0,1,1,15
9,"Fp1",1,0,1,1,16
9,"Fp1",1,0,1,1,17
9,"Fp1",1,0,1,1,18
9,"Fp1",1,0,1,1,19
9,"Fp1",1,0,1,1,20
9,"F8",1,0,1,0,1
9,"F8",1,0,1,0,2
9,"F8",1,0,1,0,3
9,"F8",1,0,1,0,4
9,"F8",1,0,1,0,5
9,"F8",1,0,1,0,6
9,"F8",1,0,1,0,7
9,"F8",1,0,1,0,8
9,"F8",1,0,1,0,9
9,"F8",1,0,1,0,10
9,"F8",1,0,1,1,11
9,"F8",1,0,1,1,12
9,"F8",1,0,1,1,13
9,"F8",1,0,1,1,14
9,"F8",1,0,1,1,15
9,"F8",1,0,1,1,16
9,"F8",1,0,1,1,17
9,"F8",1,0,1,1,18
9,"F8",1,0,1,1,19
9,"F8",1,0,1,1,20
9,"F7",1,0,1,0,1
9,"F7",1,0,1,0,2
9,"F7",1,0,1,0,3
9,"F7",1,0,1,0,4
9,"F7",1,0,1,0,5
9,"F7",1,0,1,0,6
9,"F7",1,0,1,0,7
9,"F7",1,0,1,0,8
9,"F7",1,0,1,0,9
9,"F7",1,0,1,0,10
9,"F7",1,0,1,1,11
9,"F7",1,0,1,1,12
9,"F7",1,0,1,1,13
9,"F7",1,0,1,1,14
9,"F7",1,0,1,1,15
9,"F7",1,0,1,1,16
9,"F7",1,0,1,1,17
9,"F7",1,0,1,1,18
9,"F7",1,0,1,1,19
9,"F7",1,0,1,1,20
9,"F4",1,0,1,0,1
9,"F4",1,0,1,0,2
9,"F4",1,1,1,0,3
9,"F4",1,0,1,0,4
9,"F4",1,0,1,0,5
9,"F4",1,0,1,0,6
9,"F4",1,0,1,0,7
9,"F4",1,0,1,0,8
9,"F4",1,0,1,0,9
9,"F4",1,0,1,0,10
9,"F4",1,0,1,1,11
9,"F4",1,0,1,1,12
9,"F4",1,0,1,1,13
9,"F4",1,0,1,1,14
9,"F4",1,0,1,1,15
9,"F4",1,0,1,1,16
9,"F4",1,0,1,1,17
9,"F4",1,0,1,1,18
9,"F4",1,0,1,1,19
9,"F4",1,0,1,1,20
9,"F3",1,0,1,0,1
9,"F3",1,0,1,0,2
9,"F3",1,0,1,0,3
9,"F3",1,0,1,0,4
9,"F3",1,0,1,0,5
9,"F3",1,0,1,0,6
9,"F3",1,0,1,0,7
9,"F3",1,0,1,0,8
9,"F3",1,0,1,0,9
9,"F3",1,0,1,0,10
9,"F3",1,0,1,1,11
9,"F3",1,0,1,1,12
9,"F3",1,0,1,1,13
9,"F3",1,1,1,1,14
9,"F3",1,0,1,1,15
9,"F3",1,0,1,1,16
9,"F3",1,0,1,1,17
9,"F3",1,0,1,1,18
9,"F3",1,0,1,1,19
9,"F3",1,0,1,1,20
9,"T4",1,0,1,0,1
9,"T4",1,0,1,0,2
9,"T4",1,0,1,0,3
9,"T4",1,0,1,0,4
9,"T4",1,0,1,0,5
9,"T4",1,0,1,0,6
9,"T4",1,0,1,0,7
9,"T4",1,0,1,0,8
9,"T4",1,0,1,0,9
9,"T4",1,1,1,0,10
9,"T4",1,0,1,1,11
9,"T4",1,0,1,1,12
9,"T4",1,0,1,1,13
9,"T4",1,0,1,1,14
9,"T4",1,0,1,1,15
9,"T4",1,0,1,1,16
9,"T4",1,0,1,1,17
9,"T4",1,0,1,1,18
9,"T4",1,0,1,1,19
9,"T4",1,0,1,1,20
9,"T3",1,0,1,0,1
9,"T3",1,0,1,0,2
9,"T3",1,0,1,0,3
9,"T3",1,0,1,0,4
9,"T3",1,0,1,0,5
9,"T3",1,0,1,0,6
9,"T3",1,0,1,0,7
9,"T3",1,0,1,0,8
9,"T3",1,0,1,0,9
9,"T3",1,0,1,0,10
9,"T3",1,0,1,1,11
9,"T3",1,0,1,1,12
9,"T3",1,0,1,1,13
9,"T3",1,0,1,1,14
9,"T3",1,0,1,1,15
9,"T3",1,0,1,1,16
9,"T3",1,0,1,1,17
9,"T3",1,0,1,1,18
9,"T3",1,0,1,1,19
9,"T3",1,0,1,1,20
9,"C4",1,0,1,0,1
9,"C4",1,0,1,0,2
9,"C4",1,0,1,0,3
9,"C4",1,1,1,0,4
9,"C4",1,0,1,0,5
9,"C4",1,0,1,0,6
9,"C4",1,0,1,0,7
9,"C4",1,0,1,0,8
9,"C4",1,0,1,0,9
9,"C4",1,0,1,0,10
9,"C4",1,0,1,1,11
9,"C4",1,0,1,1,12
9,"C4",1,0,1,1,13
9,"C4",1,0,1,1,14
9,"C4",1,0,1,1,15
9,"C4",1,0,1,1,16
9,"C4",1,0,1,1,17
9,"C4",1,0,1,1,18
9,"C4",1,0,1,1,19
9,"C4",1,0,1,1,20
9,"C3",1,0,1,0,1
9,"C3",1,0,1,0,2
9,"C3",1,0,1,0,3
9,"C3",1,0,1,0,4
9,"C3",1,0,1,0,5
9,"C3",1,0,1,0,6
9,"C3",1,0,1,0,7
9,"C3",1,0,1,0,8
9,"C3",1,0,1,0,9
9,"C3",1,0,1,0,10
9,"C3",1,0,1,1,11
9,"C3",1,0,1,1,12
9,"C3",1,0,1,1,13
9,"C3",1,0,1,1,14
9,"C3",1,0,1,1,15
9,"C3",1,0,1,1,16
9,"C3",1,0,1,1,17
9,"C3",1,0,1,1,18
9,"C3",1,0,1,1,19
9,"C3",1,0,1,1,20
9,"T6",1,0,1,0,1
9,"T6",1,0,1,0,2
9,"T6",1,1,1,0,3
9,"T6",1,0,1,0,4
9,"T6",1,0,1,0,5
9,"T6",1,0,1,0,6
9,"T6",1,0,1,0,7
9,"T6",1,0,1,0,8
9,"T6",1,0,1,0,9
9,"T6",1,0,1,0,10
9,"T6",1,0,1,1,11
9,"T6",1,0,1,1,12
9,"T6",1,0,1,1,13
9,"T6",1,0,1,1,14
9,"T6",1,0,1,1,15
9,"T6",1,0,1,1,16
9,"T6",1,0,1,1,17
9,"T6",1,0,1,1,18
9,"T6",1,0,1,1,19
9,"T6",1,0,1,1,20
9,"T5",1,0,1,0,1
9,"T5",1,0,1,0,2
9,"T5",1,0,1,0,3
9,"T5",1,0,1,0,4
9,"T5",1,0,1,0,5
9,"T5",1,0,1,0,6
9,"T5",1,0,1,0,7
9,"T5",1,0,1,0,8
9,"T5",1,0,1,0,9
9,"T5",1,0,1,0,10
9,"T5",1,0,1,1,11
9,"T5",1,1,1,1,12
9,"T5",1,0,1,1,13
9,"T5",1,0,1,1,14
9,"T5",1,0,1,1,15
9,"T5",1,0,1,1,16
9,"T5",1,0,1,1,17
