"Participante","Canal","Valido","Estacionario","Grupo","Etapa","Indice"
12,"Fp2",1,0,1,0,1
12,"Fp2",1,0,1,0,2
12,"Fp2",1,1,1,0,3
12,"Fp2",1,0,1,0,4
12,"Fp2",1,0,1,0,5
12,"Fp2",1,0,1,0,6
12,"Fp2",1,0,1,0,7
12,"Fp2",1,0,1,0,8
12,"Fp2",1,0,1,0,9
12,"Fp2",1,0,1,0,10
12,"Fp2",1,0,1,1,11
12,"Fp2",1,0,1,1,12
12,"Fp2",1,0,1,1,13
12,"Fp2",1,0,1,1,14
12,"Fp2",1,0,1,1,15
12,"Fp2",1,0,1,1,16
12,"Fp2",1,1,1,1,17
12,"Fp2",1,0,1,1,18
12,"Fp2",1,0,1,1,19
12,"Fp2",1,0,1,1,20
12,"Fp1",1,0,1,0,1
12,"Fp1",1,0,1,0,2
12,"Fp1",1,1,1,0,3
12,"Fp1",1,1,1,0,4
12,"Fp1",1,0,1,0,5
12,"Fp1",1,0,1,0,6
12,"Fp1",1,0,1,0,7
12,"Fp1",1,0,1,0,8
12,"Fp1",1,0,1,0,9
12,"Fp1",1,0,1,0,10
12,"Fp1",1,0,1,1,11
12,"Fp1",1,0,1,1,12
12,"Fp1",1,0,1,1,13
12,"Fp1",1,0,1,1,14
12,"Fp1",1,0,1,1,15
12,"Fp1",1,0,1,1,16
12,"Fp1",1,1,1,1,17
12,"Fp1",1,0,1,1,18
12,"Fp1",1,0,1,1,19
12,"Fp1",1,0,1,1,20
12,"F8",1,1,1,0,1
12,"F8",1,0,1,0,2
12,"F8",1,1,1,0,3
12,"F8",1,0,1,0,4
12,"F8",1,0,1,0,5
12,"F8",1,0,1,0,6
12,"F8",1,0,1,0,7
12,"F8",1,0,1,0,8
12,"F8",1,0,1,0,9
12,"F8",1,0,1,0,10
12,"F8",1,0,1,1,11
12,"F8",1,0,1,1,12
12,"F8",1,0,1,1,13
12,"F8",1,0,1,1,14
12,"F8",1,0,1,1,15
12,"F8",1,0,1,1,16
12,"F8",1,0,1,1,17
12,"F8",1,0,1,1,18
12,"F8",1,0,1,1,19
12,"F8",1,0,1,1,20
12,"F7",1,0,1,0,1
12,"F7",1,0,1,0,2
12,"F7",1,0,1,0,3
12,"F7",1,1,1,0,4
12,"F7",1,0,1,0,5
12,"F7",1,1,1,0,6
12,"F7",1,0,1,0,7
12,"F7",1,0,1,0,8
12,"F7",1,0,1,0,9
12,"F7",1,0,1,0,10
12,"F7",1,0,1,1,11
12,"F7",1,0,1,1,12
12,"F7",1,0,1,1,13
12,"F7",1,0,1,1,14
12,"F7",1,0,1,1,15
12,"F7",1,0,1,1,16
12,"F7",1,0,1,1,17
12,"F7",1,0,1,1,18
12,"F7",1,0,1,1,19
12,"F7",1,0,1,1,20
12,"F4",1,0,1,0,1
12,"F4",1,0,1,0,2
12,"F4",1,0,1,0,3
12,"F4",1,1,1,0,4
12,"F4",1,0,1,0,5
12,"F4",1,1,1,0,6
12,"F4",1,0,1,0,7
12,"F4",1,0,1,0,8
12,"F4",1,0,1,0,9
12,"F4",1,0,1,0,10
12,"F4",1,0,1,1,11
12,"F4",1,0,1,1,12
12,"F4",1,0,1,1,13
12,"F4",1,0,1,1,14
12,"F4",1,0,1,1,15
12,"F4",1,0,1,1,16
12,"F4",1,0,1,1,17
12,"F4",1,0,1,1,18
12,"F4",1,0,1,1,19
12,"F4",1,0,1,1,20
12,"F3",1,0,1,0,1
12,"F3",1,0,1,0,2
12,"F3",1,0,1,0,3
12,"F3",1,0,1,0,4
12,"F3",1,0,1,0,5
12,"F3",1,0,1,0,6
12,"F3",1,0,1,0,7
12,"F3",1,0,1,0,8
12,"F3",1,0,1,0,9
12,"F3",1,0,1,0,10
12,"F3",1,0,1,1,11
12,"F3",1,0,1,1,12
12,"F3",1,0,1,1,13
12,"F3",1,0,1,1,14
12,"F3",1,0,1,1,15
12,"F3",1,0,1,1,16
12,"F3",1,0,1,1,17
12,"F3",1,0,1,1,18
12,"F3",1,0,1,1,19
12,"F3",1,0,1,1,20
12,"T4",1,0,1,0,1
12,"T4",1,0,1,0,2
12,"T4",1,0,1,0,3
12,"T4",1,1,1,0,4
12,"T4",1,0,1,0,5
12,"T4",1,0,1,0,6
12,"T4",1,0,1,0,7
12,"T4",1,0,1,0,8
12,"T4",1,0,1,0,9
12,"T4",1,0,1,0,10
12,"T4",1,0,1,1,11
12,"T4",1,1,1,1,12
12,"T4",1,0,1,1,13
12,"T4",1,1,1,1,14
12,"T4",1,0,1,1,15
12,"T4",1,0,1,1,16
12,"T4",1,0,1,1,17
12,"T4",1,0,1,1,18
12,"T4",1,0,1,1,19
12,"T4",1,0,1,1,20
12,"T3",1,1,1,0,1
12,"T3",1,0,1,0,2
12,"T3",1,0,1,0,3
12,"T3",1,0,1,0,4
12,"T3",1,1,1,0,5
12,"T3",1,0,1,0,6
12,"T3",1,0,1,0,7
12,"T3",1,0,1,0,8
12,"T3",1,0,1,0,9
12,"T3",1,0,1,0,10
12,"T3",1,0,1,1,11
12,"T3",1,1,1,1,12
12,"T3",1,0,1,1,13
12,"T3",1,1,1,1,14
12,"T3",1,0,1,1,15
12,"T3",1,0,1,1,16
12,"T3",1,0,1,1,17
12,"T3",1,0,1,1,18
12,"T3",1,0,1,1,19
12,"T3",1,0,1,1,20
12,"C4",1,0,1,0,1
12,"C4",1,1,1,0,2
12,"C4",1,1,1,0,3
12,"C4",1,1,1,0,4
12,"C4",1,0,1,0,5
12,"C4",1,1,1,0,6
12,"C4",1,1,1,0,7
12,"C4",1,0,1,0,8
12,"C4",1,0,1,0,9
12,"C4",1,1,1,0,10
12,"C4",1,1,1,1,11
12,"C4",1,1,1,1,12
12,"C4",1,0,1,1,13
12,"C4",1,1,1,1,14
12,"C4",1,0,1,1,15
12,"C4",1,0,1,1,16
12,"C4",1,1,1,1,17
12,"C4",1,0,1,1,18
12,"C4",1,1,1,1,19
12,"C4",1,0,1,1,20
12,"C3",1,1,1,0,1
12,"C3",1,1,1,0,2
12,"C3",1,1,1,0,3
12,"C3",1,1,1,0,4
12,"C3",1,0,1,0,5
12,"C3",1,1,1,0,6
12,"C3",1,1,1,0,7
12,"C3",1,0,1,0,8
12,"C3",1,0,1,0,9
12,"C3",1,1,1,0,10
12,"C3",1,1,1,1,11
12,"C3",1,1,1,1,12
12,"C3",1,0,1,1,13
12,"C3",1,0,1,1,14
12,"C3",1,0,1,1,15
12,"C3",1,0,1,1,16
12,"C3",1,1,1,1,17
12,"C3",1,1,1,1,18
12,"C3",1,0,1,1,19
12,"C3",1,0,1,1,20
12,"T6",1,0,1,0,1
12,"T6",1,1,1,0,2
12,"T6",1,1,1,0,3
12,"T6",1,1,1,0,4
12,"T6",1,0,1,0,5
12,"T6",1,0,1,0,6
12,"T6",1,0,1,0,7
12,"T6",1,0,1,0,8
12,"T6",1,0,1,0,9
12,"T6",1,0,1,0,10
12,"T6",1,0,1,1,11
12,"T6",1,0,1,1,12
12,"T6",1,0,1,1,13
12,"T6",1,0,1,1,14
12,"T6",1,0,1,1,15
12,"T6",1,0,1,1,16
12,"T6",1,0,1,1,17
12,"T6",1,0,1,1,18
12,"T6",1,0,1,1,19
12,"T6",1,0,1,1,20
12,"T5",1,0,1,0,1
12,"T5",1,1,1,0,2
12,"T5",1,1,1,0,3
12,"T5",1,1,1,0,4
12,"T5",1,0,1,0,5
12,"T5",1,1,1,0,6
12,"T5",1,0,1,0,7
12,"T5",1,0,1,0,8
12,"T5",1,0,1,0,9
12,"T5",1,0,1,0,10
12,"T5",1,0,1,1,11
12,"T5",1,0,1,1,12
12,"T5",1,1,1,1,13
12,"T5",1,1,1,1,14
12,"T5",1,0,1,1,15
12,"T5",1,0,1,1,16
