"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
12,"Fp2",10,1,1,"NMOR",10
12,"Fp2",10,2,1,"MOR",20
12,"Fp1",10,2,1,"NMOR",20
12,"Fp1",10,2,1,"MOR",20
12,"F8",10,2,1,"NMOR",20
12,"F8",10,0,1,"MOR",0
12,"F7",10,1,1,"NMOR",10
12,"F7",10,2,1,"MOR",20
12,"F4",10,6,1,"NMOR",60
12,"F4",10,7,1,"MOR",70
12,"F3",10,3,1,"NMOR",30
12,"F3",10,4,1,"MOR",40
12,"T4",10,3,1,"NMOR",30
12,"T4",10,6,1,"MOR",60
12,"T3",10,2,1,"NMOR",20
12,"T3",10,4,1,"MOR",40
12,"C4",10,5,1,"NMOR",50
12,"C4",10,1,1,"MOR",10
12,"C3",10,4,1,"NMOR",40
12,"C3",10,6,1,"MOR",60
12,"T6",10,5,1,"NMOR",50
12,"T6",10,0,1,"MOR",0
12,"T5",10,1,1,"NMOR",10
12,"T5",10,1,1,"MOR",10
12,"P4",10,0,1,"NMOR",0
12,"P4",10,0,1,"MOR",0
12,"P3",10,0,1,"NMOR",0
12,"P3",10,0,1,"MOR",0
12,"O2",10,2,1,"NMOR",20
12,"O2",10,2,1,"MOR",20
12,"O1",10,5,1,"NMOR",50
12,"O1",10,4,1,"MOR",40
12,"FZ",10,0,1,"NMOR",0
12,"FZ",10,3,1,"MOR",30
12,"CZ",10,5,1,"NMOR",50
12,"CZ",10,2,1,"MOR",20
12,"PZ",10,1,1,"NMOR",10
12,"PZ",10,4,1,"MOR",40
12,"LOG",10,4,1,"NMOR",40
12,"LOG",10,2,1,"MOR",20
12,"ROG",10,2,1,"NMOR",20
12,"ROG",10,5,1,"MOR",50
12,"EMG",10,6,1,"NMOR",60
12,"EMG",10,1,1,"MOR",10
