"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
2,"Fp2",10,3,0,"NMOR",30
2,"Fp2",10,3,0,"MOR",30
2,"Fp1",10,4,0,"NMOR",40
2,"Fp1",10,5,0,"MOR",50
2,"F8",10,6,0,"NMOR",60
2,"F8",10,5,0,"MOR",50
2,"F7",10,4,0,"NMOR",40
2,"F7",10,6,0,"MOR",60
2,"F4",10,4,0,"NMOR",40
2,"F4",10,3,0,"MOR",30
2,"F3",10,3,0,"NMOR",30
2,"F3",10,5,0,"MOR",50
2,"T4",10,4,0,"NMOR",40
2,"T4",10,4,0,"MOR",40
2,"T3",10,5,0,"NMOR",50
2,"T3",10,2,0,"MOR",20
2,"C4",10,3,0,"NMOR",30
2,"C4",10,4,0,"MOR",40
2,"C3",10,4,0,"NMOR",40
2,"C3",10,8,0,"MOR",80
2,"T6",10,5,0,"NMOR",50
2,"T6",10,1,0,"MOR",10
2,"T5",10,1,0,"NMOR",10
2,"T5",10,1,0,"MOR",10
2,"P4",10,1,0,"NMOR",10
2,"P4",10,1,0,"MOR",10
2,"P3",10,4,0,"NMOR",40
2,"P3",10,2,0,"MOR",20
2,"O2",10,4,0,"NMOR",40
2,"O2",10,3,0,"MOR",30
2,"O1",10,1,0,"NMOR",10
2,"O1",10,2,0,"MOR",20
2,"FZ",10,3,0,"NMOR",30
2,"FZ",10,2,0,"MOR",20
2,"CZ",10,3,0,"NMOR",30
2,"CZ",10,3,0,"MOR",30
2,"PZ",10,3,0,"NMOR",30
2,"PZ",10,5,0,"MOR",50
2,"LOG",10,2,0,"NMOR",20
2,"LOG",10,2,0,"MOR",20
2,"ROG",10,0,0,"NMOR",0
2,"ROG",10,0,0,"MOR",0
2,"EMG",10,2,0,"NMOR",20
2,"EMG",10,0,0,"MOR",0
