"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
14,"Fp2",10,0,1,"NMOR",0
14,"Fp2",10,1,1,"MOR",10
14,"Fp1",10,1,1,"NMOR",10
14,"Fp1",10,0,1,"MOR",0
14,"F8",10,0,1,"NMOR",0
14,"F8",10,0,1,"MOR",0
14,"F7",10,0,1,"NMOR",0
14,"F7",10,1,1,"MOR",10
14,"F4",10,1,1,"NMOR",10
14,"F4",10,1,1,"MOR",10
14,"F3",10,1,1,"NMOR",10
14,"F3",10,1,1,"MOR",10
14,"T4",10,2,1,"NMOR",20
14,"T4",10,2,1,"MOR",20
14,"T3",10,1,1,"NMOR",10
14,"T3",10,1,1,"MOR",10
14,"C4",10,1,1,"NMOR",10
14,"C4",10,0,1,"MOR",0
14,"C3",10,0,1,"NMOR",0
14,"C3",10,1,1,"MOR",10
14,"T6",10,0,1,"NMOR",0
14,"T6",10,0,1,"MOR",0
14,"T5",10,0,1,"NMOR",0
14,"T5",10,0,1,"MOR",0
14,"P4",10,2,1,"NMOR",20
14,"P4",10,0,1,"MOR",0
14,"P3",10,2,1,"NMOR",20
14,"P3",10,2,1,"MOR",20
14,"O2",10,4,1,"NMOR",40
14,"O2",10,0,1,"MOR",0
14,"O1",10,2,1,"NMOR",20
14,"O1",10,4,1,"MOR",40
14,"FZ",10,4,1,"NMOR",40
14,"FZ",10,3,1,"MOR",30
14,"CZ",10,4,1,"NMOR",40
14,"CZ",10,4,1,"MOR",40
14,"PZ",10,5,1,"NMOR",50
14,"PZ",10,3,1,"MOR",30
14,"LOG",10,3,1,"NMOR",30
14,"LOG",10,2,1,"MOR",20
14,"ROG",10,1,1,"NMOR",10
14,"ROG",10,0,1,"MOR",0
14,"EMG",10,0,1,"NMOR",0
14,"EMG",10,0,1,"MOR",0
