"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
1,"Fp2",30,3,0,"NMOR",10
1,"Fp2",30,3,0,"MOR",10
1,"Fp1",30,3,0,"NMOR",10
1,"Fp1",30,0,0,"MOR",0
1,"F8",30,0,0,"NMOR",0
1,"F8",30,0,0,"MOR",0
1,"F7",30,3,0,"NMOR",10
1,"F7",30,3,0,"MOR",10
1,"F4",30,0,0,"NMOR",0
1,"F4",30,3,0,"MOR",10
1,"F3",30,3,0,"NMOR",10
1,"F3",30,6,0,"MOR",20
1,"T4",30,3,0,"NMOR",10
1,"T4",30,3,0,"MOR",10
1,"T3",30,0,0,"NMOR",0
1,"T3",30,3,0,"MOR",10
1,"C4",30,0,0,"NMOR",0
1,"C4",30,3,0,"MOR",10
1,"C3",30,0,0,"NMOR",0
1,"C3",30,6,0,"MOR",20
1,"T6",30,6,0,"NMOR",20
1,"T6",30,0,0,"MOR",0
1,"T5",30,0,0,"NMOR",0
1,"T5",30,0,0,"MOR",0
1,"P4",30,0,0,"NMOR",0
1,"P4",30,0,0,"MOR",0
1,"P3",30,0,0,"NMOR",0
1,"P3",30,1,0,"MOR",3.33333333333333
1,"O2",30,0,0,"NMOR",0
1,"O2",30,3,0,"MOR",10
1,"O1",30,0,0,"NMOR",0
1,"O1",30,0,0,"MOR",0
1,"FZ",30,0,0,"NMOR",0
1,"FZ",30,0,0,"MOR",0
1,"CZ",30,0,0,"NMOR",0
1,"CZ",30,0,0,"MOR",0
1,"PZ",30,3,0,"NMOR",10
1,"PZ",30,0,0,"MOR",0
1,"LOG",30,1,0,"NMOR",3.33333333333333
1,"LOG",30,0,0,"MOR",0
1,"ROG",30,0,0,"NMOR",0
1,"ROG",30,0,0,"MOR",0
1,"EMG",30,0,0,"NMOR",0
1,"EMG",30,3,0,"MOR",10
