"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","156","01:17:30","01:18:0"
"NMOR","2","157","01:18:0","01:18:30"
"NMOR","3","158","01:18:30","01:19:0"
"NMOR","4","159","01:19:0","01:19:30"
"NMOR","5","160","01:19:30","01:20:0"
"NMOR","6","161","01:20:0","01:20:30"
"NMOR","7","162","01:20:30","01:21:0"
"NMOR","8","163","01:21:0","01:21:30"
"NMOR","9","164","01:21:30","01:22:0"
"NMOR","10","165","01:22:0","01:22:30"
"MOR","1","166","01:22:30","01:23:0"
"MOR","2","167","01:23:0","01:23:30"
"MOR","3","168","01:23:30","01:24:0"
"MOR","4","170","01:24:30","01:25:0"
"MOR","5","171","01:25:0","01:25:30"
"MOR","6","172","01:25:30","01:26:0"
"MOR","7","173","01:26:0","01:26:30"
"MOR","8","174","01:26:30","01:27:0"
"MOR","9","175","01:27:0","01:27:30"
"MOR","10","176","01:27:30","01:28:0"
