"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","1154","03:12:10","03:12:20"
"NMOR","2","1155","03:12:20","03:12:30"
"NMOR","3","1156","03:12:30","03:12:40"
"NMOR","4","1157","03:12:40","03:12:50"
"NMOR","5","1158","03:12:50","03:13:0"
"NMOR","6","1159","03:13:0","03:13:10"
"NMOR","7","1160","03:13:10","03:13:20"
"NMOR","8","1161","03:13:20","03:13:30"
"NMOR","9","1162","03:13:30","03:13:40"
"NMOR","10","1163","03:13:40","03:13:50"
"NMOR","11","1164","03:13:50","03:14:0"
"NMOR","12","1165","03:14:0","03:14:10"
"NMOR","13","1166","03:14:10","03:14:20"
"NMOR","14","1167","03:14:20","03:14:30"
"NMOR","15","1168","03:14:30","03:14:40"
"NMOR","16","1169","03:14:40","03:14:50"
"NMOR","17","1170","03:14:50","03:15:0"
"NMOR","18","1171","03:15:0","03:15:10"
"NMOR","19","1172","03:15:10","03:15:20"
"NMOR","20","1173","03:15:20","03:15:30"
"NMOR","21","1174","03:15:30","03:15:40"
"NMOR","22","1175","03:15:40","03:15:50"
"NMOR","23","1176","03:15:50","03:16:0"
"NMOR","24","1177","03:16:0","03:16:10"
"NMOR","25","1178","03:16:10","03:16:20"
"NMOR","26","1179","03:16:20","03:16:30"
"NMOR","27","1180","03:16:30","03:16:40"
"NMOR","28","1181","03:16:40","03:16:50"
"NMOR","29","1182","03:16:50","03:17:0"
"NMOR","30","1183","03:17:0","03:17:10"
"MOR","1","1184","03:17:10","03:17:20"
"MOR","2","1185","03:17:20","03:17:30"
"MOR","3","1186","03:17:30","03:17:40"
"MOR","4","1187","03:17:40","03:17:50"
"MOR","5","1190","03:18:10","03:18:20"
"MOR","6","1191","03:18:20","03:18:30"
"MOR","7","1192","03:18:30","03:18:40"
"MOR","8","1193","03:18:40","03:18:50"
"MOR","9","1194","03:18:50","03:19:0"
"MOR","10","1195","03:19:0","03:19:10"
"MOR","11","1196","03:19:10","03:19:20"
"MOR","12","1197","03:19:20","03:19:30"
"MOR","13","1198","03:19:30","03:19:40"
"MOR","14","1199","03:19:40","03:19:50"
"MOR","15","1200","03:19:50","03:20:0"
"MOR","16","1205","03:20:40","03:20:50"
"MOR","17","1206","03:20:50","03:21:0"
"MOR","18","1207","03:21:0","03:21:10"
"MOR","19","1208","03:21:10","03:21:20"
"MOR","20","1209","03:21:20","03:21:30"
"MOR","21","1210","03:21:30","03:21:40"
"MOR","22","1217","03:22:40","03:22:50"
"MOR","23","1218","03:22:50","03:23:0"
"MOR","24","1219","03:23:0","03:23:10"
"MOR","25","1220","03:23:10","03:23:20"
"MOR","26","1240","03:26:30","03:26:40"
"MOR","27","1241","03:26:40","03:26:50"
"MOR","28","1242","03:26:50","03:27:0"
"MOR","29","1243","03:27:0","03:27:10"
"MOR","30","1244","03:27:10","03:27:20"
