"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","358","02:58:30","02:59:0"
"NMOR","2","359","02:59:0","02:59:30"
"NMOR","3","360","02:59:30","03:00:00"
"NMOR","4","361","03:00:00","03:00:030"
"NMOR","5","362","03:00:030","03:01:00"
"NMOR","6","363","03:01:00","03:01:030"
"NMOR","7","364","03:01:030","03:02:00"
"NMOR","8","365","03:02:00","03:02:030"
"NMOR","9","366","03:02:030","03:03:00"
"NMOR","10","367","03:03:00","03:03:030"
"MOR","1","368","03:03:030","03:04:00"
"MOR","2","370","03:04:030","03:05:00"
"MOR","3","371","03:05:00","03:05:030"
"MOR","4","372","03:05:030","03:06:00"
"MOR","5","373","03:06:00","03:06:030"
"MOR","6","374","03:06:030","03:07:00"
"MOR","7","375","03:07:00","03:07:030"
"MOR","8","376","03:07:030","03:08:00"
"MOR","9","377","03:08:00","03:08:030"
"MOR","10","378","03:08:030","03:09:00"
