"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","794","02:12:10","02:12:20"
"NMOR","2","795","02:12:20","02:12:30"
"NMOR","3","796","02:12:30","02:12:40"
"NMOR","4","797","02:12:40","02:12:50"
"NMOR","5","798","02:12:50","02:13:0"
"NMOR","6","799","02:13:0","02:13:10"
"NMOR","7","800","02:13:10","02:13:20"
"NMOR","8","801","02:13:20","02:13:30"
"NMOR","9","802","02:13:30","02:13:40"
"NMOR","10","803","02:13:40","02:13:50"
"NMOR","11","804","02:13:50","02:14:0"
"NMOR","12","805","02:14:0","02:14:10"
"NMOR","13","806","02:14:10","02:14:20"
"NMOR","14","807","02:14:20","02:14:30"
"NMOR","15","808","02:14:30","02:14:40"
"NMOR","16","809","02:14:40","02:14:50"
"NMOR","17","810","02:14:50","02:15:0"
"NMOR","18","811","02:15:0","02:15:10"
"NMOR","19","812","02:15:10","02:15:20"
"NMOR","20","813","02:15:20","02:15:30"
"NMOR","21","814","02:15:30","02:15:40"
"NMOR","22","815","02:15:40","02:15:50"
"NMOR","23","816","02:15:50","02:16:0"
"NMOR","24","817","02:16:0","02:16:10"
"NMOR","25","818","02:16:10","02:16:20"
"NMOR","26","819","02:16:20","02:16:30"
"NMOR","27","820","02:16:30","02:16:40"
"NMOR","28","821","02:16:40","02:16:50"
"NMOR","29","822","02:16:50","02:17:0"
"NMOR","30","823","02:17:0","02:17:10"
"MOR","1","824","02:17:10","02:17:20"
"MOR","2","825","02:17:20","02:17:30"
"MOR","3","826","02:17:30","02:17:40"
"MOR","4","827","02:17:40","02:17:50"
"MOR","5","828","02:17:50","02:18:0"
"MOR","6","829","02:18:0","02:18:10"
"MOR","7","830","02:18:10","02:18:20"
"MOR","8","831","02:18:20","02:18:30"
"MOR","9","832","02:18:30","02:18:40"
"MOR","10","833","02:18:40","02:18:50"
"MOR","11","834","02:18:50","02:19:0"
"MOR","12","835","02:19:0","02:19:10"
"MOR","13","836","02:19:10","02:19:20"
"MOR","14","837","02:19:20","02:19:30"
"MOR","15","838","02:19:30","02:19:40"
"MOR","16","839","02:19:40","02:19:50"
"MOR","17","840","02:19:50","02:20:0"
"MOR","18","841","02:20:0","02:20:10"
"MOR","19","842","02:20:10","02:20:20"
"MOR","20","843","02:20:20","02:20:30"
"MOR","21","844","02:20:30","02:20:40"
"MOR","22","845","02:20:40","02:20:50"
"MOR","23","846","02:20:50","02:21:0"
"MOR","24","847","02:21:0","02:21:10"
"MOR","25","848","02:21:10","02:21:20"
"MOR","26","849","02:21:20","02:21:30"
"MOR","27","850","02:21:30","02:21:40"
"MOR","28","851","02:21:40","02:21:50"
"MOR","29","852","02:21:50","02:22:0"
"MOR","30","853","02:22:0","02:22:10"
