"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","129","01:04:00","01:04:030"
"NMOR","2","130","01:04:030","01:05:00"
"NMOR","3","131","01:05:00","01:05:030"
"NMOR","4","132","01:05:030","01:06:00"
"NMOR","5","133","01:06:00","01:06:030"
"NMOR","6","134","01:06:030","01:07:00"
"NMOR","7","135","01:07:00","01:07:030"
"NMOR","8","136","01:07:030","01:08:00"
"NMOR","9","137","01:08:00","01:08:030"
"NMOR","10","138","01:08:030","01:09:00"
"MOR","1","139","01:09:00","01:09:030"
"MOR","2","140","01:09:030","01:10:0"
"MOR","3","141","01:10:0","01:10:30"
"MOR","4","142","01:10:30","01:11:0"
"MOR","5","143","01:11:0","01:11:30"
"MOR","6","144","01:11:30","01:12:0"
"MOR","7","145","01:12:0","01:12:30"
"MOR","8","146","01:12:30","01:13:0"
"MOR","9","147","01:13:0","01:13:30"
"MOR","10","148","01:13:30","01:14:0"
