"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","667","01:51:0","01:51:10"
"NMOR","2","668","01:51:10","01:51:20"
"NMOR","3","669","01:51:20","01:51:30"
"NMOR","4","670","01:51:30","01:51:40"
"NMOR","5","671","01:51:40","01:51:50"
"NMOR","6","672","01:51:50","01:52:0"
"NMOR","7","673","01:52:0","01:52:10"
"NMOR","8","674","01:52:10","01:52:20"
"NMOR","9","675","01:52:20","01:52:30"
"NMOR","10","676","01:52:30","01:52:40"
"NMOR","11","677","01:52:40","01:52:50"
"NMOR","12","678","01:52:50","01:53:0"
"NMOR","13","679","01:53:0","01:53:10"
"NMOR","14","680","01:53:10","01:53:20"
"NMOR","15","681","01:53:20","01:53:30"
"NMOR","16","682","01:53:30","01:53:40"
"NMOR","17","683","01:53:40","01:53:50"
"NMOR","18","684","01:53:50","01:54:0"
"NMOR","19","685","01:54:0","01:54:10"
"NMOR","20","686","01:54:10","01:54:20"
"NMOR","21","687","01:54:20","01:54:30"
"NMOR","22","688","01:54:30","01:54:40"
"NMOR","23","689","01:54:40","01:54:50"
"NMOR","24","690","01:54:50","01:55:0"
"NMOR","25","691","01:55:0","01:55:10"
"NMOR","26","692","01:55:10","01:55:20"
"NMOR","27","693","01:55:20","01:55:30"
"NMOR","28","694","01:55:30","01:55:40"
"NMOR","29","695","01:55:40","01:55:50"
"NMOR","30","696","01:55:50","01:56:0"
"MOR","1","697","01:56:0","01:56:10"
"MOR","2","698","01:56:10","01:56:20"
"MOR","3","699","01:56:20","01:56:30"
"MOR","4","700","01:56:30","01:56:40"
"MOR","5","701","01:56:40","01:56:50"
"MOR","6","702","01:56:50","01:57:0"
"MOR","7","703","01:57:0","01:57:10"
"MOR","8","704","01:57:10","01:57:20"
"MOR","9","705","01:57:20","01:57:30"
"MOR","10","706","01:57:30","01:57:40"
"MOR","11","707","01:57:40","01:57:50"
"MOR","12","708","01:57:50","01:58:0"
"MOR","13","709","01:58:0","01:58:10"
"MOR","14","710","01:58:10","01:58:20"
"MOR","15","711","01:58:20","01:58:30"
"MOR","16","712","01:58:30","01:58:40"
"MOR","17","713","01:58:40","01:58:50"
"MOR","18","714","01:58:50","01:59:0"
"MOR","19","715","01:59:0","01:59:10"
"MOR","20","716","01:59:10","01:59:20"
"MOR","21","717","01:59:20","01:59:30"
"MOR","22","718","01:59:30","01:59:40"
"MOR","23","719","01:59:40","01:59:50"
"MOR","24","720","01:59:50","02:00:00"
"MOR","25","721","02:00:00","02:00:010"
"MOR","26","722","02:00:010","02:00:020"
"MOR","27","723","02:00:020","02:00:030"
"MOR","28","724","02:00:030","02:00:040"
"MOR","29","725","02:00:040","02:00:050"
"MOR","30","726","02:00:050","02:01:00"
